name,art_nr,country,volume,alc_vol,price
Manon Rosé,Nr 52172,Frankrike,750 ml,"12,5 % vol.",199:-
Domain Laffitte,Nr 57521,Frankrike,750 ml,12 % vol.,145:-
Galic,Nr 57839,Kroatien,750 ml,"11,5 % vol.",219:-
Marqués de Cáceres,Nr 58875,Spanien,750 ml,14 % vol.,139:-
Grande Cuvée Madame,Nr 51667,Frankrike,750 ml,13 % vol.,169:-
Château Cibon,Nr 51695,Frankrike,1 500 ml,14 % vol.,1 099:-
Avantis Grace,Nr 51673,Grekland,750 ml,13 % vol.,219:-
Vivanco Rosado,Nr 51679,Spanien,750 ml,"13,5 % vol.",155:-
Planeta,Nr 51826,Italien,750 ml,"12,5 % vol.",129:-
Fleurs de Prairie,Nr 51814,Frankrike,1 500 ml,13 % vol.,299:-
Fleurs de Prairie,Nr 51814,Frankrike,750 ml,"12,5 % vol.",159:-
Fleurs de Prairie,Nr 51814,Frankrike,187 ml,"12,5 % vol.",49:-
Tommasi,Nr 51885,Italien,750 ml,"12,5 % vol.",159:-
Mirabeau En Provence,Nr 52052,Frankrike,750 ml,"12,5 % vol.",209:-
Beefsteak Club,Nr 52190,Argentina,750 ml,12 % vol.,129:-
Rock'n Rolle Baby,Nr 52167,Frankrike,750 ml,"12,5 % vol.",135:-
Rosato,Nr 52265,Italien,750 ml,12 % vol.,140:-
Calles Rosa,Nr 52446,Tyskland,750 ml,"11,5 % vol.",139:-
