name,art_nr,country,volume,alc_vol,price
Otello,Nr 71461,Italien,750 ml,11 % vol.,189:-
Léon Beyer,Nr 73679,Frankrike,750 ml,13 % vol.,189:-
Fox Creek,Nr 6251,Australien,750 ml,"14,5 % vol.",179:-
Zeni,Nr 473091,Italien,750 ml,14 % vol.,179:-
Granducato,Nr 78653,Italien,750 ml,"12,5 % vol.",189:-
Periquita,Nr 2574,Portugal,1 500 ml,13 % vol.,173:-
Montecillo,Nr 88549,Spanien,750 ml,"13,5 % vol.",179:-
Lagone,Nr 74343,Italien,750 ml,"14,5 % vol.",175:-
Hahn,Nr 70066,USA,750 ml,"14,5 % vol.",174:-
Catena,Nr 72721,Argentina,750 ml,"13,5 % vol.",179:-
Avantis Estate,Nr 90559,Grekland,750 ml,"13,5 % vol.",175:-
Dr Charles Niehaus,Nr 74100,Sydafrika,750 ml,"14,5 % vol.",179:-
Izadi,Nr 74668,Spanien,750 ml,14 % vol.,175:-
Zweigelt,Nr 74607,Österrike,750 ml,"13,5 % vol.",174:-
Pèppoli Chianti Classico,Nr 74473,Italien,750 ml,"13,5 % vol.",189:-
Juliénas,Nr 74998,Frankrike,750 ml,13 % vol.,179:-
Moulin á Vent,Nr 79767,Frankrike,750 ml,"13,5 % vol.",189:-
Medolago Albani,Nr 71400,Italien,750 ml,13 % vol.,184:-
Los Aguilares,Nr 75824,Spanien,750 ml,"14,5 % vol.",179:-
Poggio alla Guardia,Nr 71025,Italien,750 ml,14 % vol.,189:-
Le Morette V. Zenato,Nr 55420,Italien,750 ml,13 % vol.,179:-
12@,Nr 53946,Spanien,750 ml,"12,5 % vol.",174:-
Noi,Nr 75887,Italien,750 ml,14 % vol.,184:-
Villa Bibbiani,Nr 53133,Italien,750 ml,"14,5 % vol.",189:-
Weingut Becker,Nr 58586,Tyskland,750 ml,"12,5 % vol.",189:-
Rocca di Montemassi,Nr 75954,Italien,750 ml,14 % vol.,179:-
